name,brand,w,h,one,two,three,four,nos,media,jobno,category
NWZ Mamzar ,RRP,221.3,36.2,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NWZ Mamzar - FF20 Back,PL,68.2,52.2,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NWZ Mamzar - FF20 Front,PL,68.5,62,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NWZ Mamzar - FF20 Back,PL,68.2,52.2,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NWZ Mamzar - FF20 Front,PL,68.5,62,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NWZ Al Nahda 4 - 1pc,RRP,88,36,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NWZ Al Nahda 4,RRP,48.5,36,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Al Madina Supermarket - 100cm floor,RRP,89.9,34.2,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Al Madina Supermarket - FF20 Back,PL,68.2,52.2,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Al Madina Supermarket - FF20 Front,PL,68.5,62,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Al Madina Supermarket - FF20 Back,PL,68.2,52.2,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Al Madina Supermarket - FF20 Front,PL,68.5,62,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
AVIATION SM - Roll unit,RRP,159.5,76.5,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
AVIATION SM,PL,35,15.6,,1,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
WEST ZONE SATWA ,RRP,35,15.6,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
WEST ZONE SATWA - FF20 Back,PL,68.2,52.2,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
WEST ZONE SATWA - FF20 Front,PL,68.5,62,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
S Rana,RRP,35,15.6,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
S Rana,PL,35,15.6,,1,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
NEW AL SHAMS SUPERMARKET LLC 01-Ghusais - FF20 Back,RRP,68.2,52.2,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NEW AL SHAMS SUPERMARKET LLC 01-Ghusais - FF20 Front,RRP,68.5,62,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NEW AL SHAMS SUPERMARKET LLC 01-Ghusais - FF20 Back,PL,68.2,52.2,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
NEW AL SHAMS SUPERMARKET LLC 01-Ghusais - FF20 Front,PL,68.5,62,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Royal KP Mart,RRP,35,15.6,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Royal KP Mart,PL,35,15.6,,1,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
WEST ZONE SUPERMARKET L.L.C. 29-Robinson Buteena - 100cm floor,RRP,89.9,34.2,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
WEST ZONE SUPERMARKET L.L.C. 29-Robinson Buteena - 80cm floor,PL,70,34.5,,1,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Westzone Muraqqabat - 1pc,RRP,258,38,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Westzone Muraqqabat - 1pc,PL,51,26.2,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Happy Way Grocery,RRP,35,15.6,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Happy Way Grocery,PL,35,15.6,,1,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
New Era Riqqa - FF20 Back,RRP,68.2,52.2,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
New Era Riqqa - FF20 Front,RRP,68.5,62,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
New Era Riqqa - FF20 Back,PL,68.2,52.2,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
New Era Riqqa - FF20 Front,PL,68.5,62,,1,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Al Noor Gen Trdg - Golden Noor - 64cm wall,Chester,53.8,21.5,,,1,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Al Noor Gen Trdg - Golden Noor - 64cm wall,RRP,53.8,21.5,1,,,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
Ashekanani Qusais,Chester,50,20.5,,,1,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
Asheknani Qusais Double Rollunit,RRP,159.5,76.5,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
New Era Muraqabat 2 - FF20 Back,RRP,68.2,52.2,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
New Era Muraqabat 2 - FF20 Front,RRP,68.5,62,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
New Era Muraqabat 2 - FF20 Back,Chester,68.2,52.2,,,1,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
New Era Muraqabat 2 - FF20 Front,Chester,68.5,62,,,1,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
New Era Maktoum - FF20 Back,Chester,68.2,52.2,,,1,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
New Era Maktoum - FF20 Front,Chester,68.5,62,,,1,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
New Era Maktoum - FF20 Back,RRP,68.2,52.2,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
New Era Maktoum - FF20 Front,RRP,68.5,62,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
New Era Rigga,Chester,35,15.6,,,1,,1,Durantrans,233691,Dubai - 2 Header CC + RRP
New Era Rigga - FF20 Back,RRP,68.2,52.2,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
New Era Rigga - FF20 Front,RRP,68.5,62,1,,,,1,Polycarbonate,233691,Dubai - 2 Header CC + RRP
